 num     #instances         #bytes  class name (module)
 170:           282           4512  jdk.internal.util.StrongReferenceKey (java.base@23)
 171:           105           4488  [[C (java.base@23)
 172:           140           4480  java.lang.module.ModuleDescriptor$Requires (java.base@23)
 173:            93           4464  java.lang.StackTraceElement (java.base@23)
 174:            91           4368  org.jvnet.hk2.internal.ServiceHandleImpl
 175:           136           4352  org.glassfish.hk2.utilities.cache.Cache$OriginThreadAwareFuture
 176:           181           4344  sun.reflect.generics.factory.CoreReflectionFactory (java.base@23)
 177:           220           4328  [Ljava.lang.annotation.Annotation; (java.base@23)
 178:            90           4320  org.jvnet.hk2.internal.ClazzCreator
 179:           265           4240  java.lang.Byte (java.base@23)
 180:            75           4200  java.lang.Module (java.base@23)
 181:           131           4192  com.google.inject.internal.FactoryProxy
 182:            87           4160  [Ljava.security.ProtectionDomain; (java.base@23)
 183:            52           4160  com.google.common.cache.LocalCache$Segment
 184:           260           4160  java.security.SecureClassLoader$1 (java.base@23)
 185:           260           4160  java.util.zip.CRC32 (java.base@23)
 186:           172           4128  org.eclipse.sisu.space.NamedClass
 187:           171           4104  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@23)
 188:           171           4104  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@23)
 189:           256           4096  java.lang.Short (java.base@23)
 190:            64           4096  java.lang.module.ModuleDescriptor (java.base@23)
 191:           256           4096  java.util.HashMap$KeySet (java.base@23)
 192:           101           4040  java.io.FileDescriptor (java.base@23)
 193:           166           3984  java.util.ImmutableCollections$SetN (java.base@23)
 194:           124           3968  java.util.logging.LogManager$LogNode (java.logging@23)
 195:           165           3960  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@23)
 196:           164           3936  org.eclipse.sisu.inject.RankedSequence$Content
 197:            98           3920  org.eclipse.sisu.inject.MildValues$Weak
 198:           163           3912  org.glassfish.hk2.utilities.reflection.internal.ClassReflectionHelperImpl$LifecycleKey
 199:           122           3904  java.util.Collections$UnmodifiableMap (java.base@23)
 200:            54           3888  org.glassfish.hk2.utilities.DescriptorImpl
 201:           121           3872  sun.reflect.generics.repository.ClassRepository (java.base@23)
 202:            68           3808  java.util.logging.Logger (java.logging@23)
 203:            78           3744  org.glassfish.hk2.utilities.InjecteeImpl
 204:           153           3672  java.util.ArrayDeque (java.base@23)
 205:           227           3632  com.google.common.collect.SingletonImmutableSet
 206:           151           3624  sun.reflect.generics.scope.ClassScope (java.base@23)
 207:           113           3616  org.eclipse.sisu.inject.LazyBeanEntry
 208:            90           3600  java.math.BigInteger (java.base@23)
 209:            50           3600  org.apache.maven.model.MailingList
 210:            56           3584  org.apache.maven.model.Repository
 211:           149           3576  org.eclipse.sisu.plexus.ProvidedPropertyBinding
 212:            55           3520  java.security.Provider$Service (java.base@23)
 213:           108           3456  java.util.zip.ZipFile$CleanableResource (java.base@23)
 214:           143           3432  java.util.concurrent.CopyOnWriteArrayList (java.base@23)
 215:           107           3424  org.eclipse.sisu.inject.MildElements$Weak
 216:            61           3416  java.util.Properties (java.base@23)
 217:            61           3416  jdk.internal.module.ModuleReferenceImpl (java.base@23)
 218:           142           3408  com.google.inject.internal.AbstractBindingProcessor$Processor$$Lambda/0x000078cd0f1a7568
